id,name,current_category,new_category
2103,"GBS Brick/Blocklaying","Bricklayers","Blocklayers"
2115,"K Baker Brick & Blocklaying","Bricklayers","Blocklayers"
2132,"Charlie's Brick & Blocklaying Construction","Bricklayers","Blocklayers"
2151,"Liddicoat Bricklaying and Stone Masonry","Bricklayers","Stonemasons"
2176,"TROWEL HANDY BRICK & BLOCKLAYING","Bricklayers","Blocklayers"
2332,"ISEAL REMEDIAL BUILDING & WATERPROOFING PTY LTD","Remedial Builders","Licensed Waterproofers"
2341,"Ridgeline Roofing solutions","Leak Detection Specialists","Roofing Contractors"
2345,"Jetset Plumbing","Leak Detection Specialists","Commercial Plumbers"
2348,"BDS Plumbing","Leak Detection Specialists","Commercial Plumbers"
2350,"Leakfree Waterproofing","Leak Detection Specialists","Licensed Waterproofers"
2362,"Professional Metal Roofing Stanmore - Roof Replacement Sydney","Roofing Contractors","Metal Roofing Contractors"
2374,"A-Line Metal Roofing","Roofing Contractors","Metal Roofing Contractors"
2379,"REBORN METAL ROOFING PTY LTD","Roofing Contractors","Metal Roofing Contractors"
2381,"Traditional Metal Roofing","Roofing Contractors","Metal Roofing Contractors"
2395,"Metalscape Roofing Pty Ltd","Roofing Contractors","Metal Roofing Contractors"
2416,"City Wide Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2418,"Budget Roof Painting","Roof Leak Repair Contractors","Painters"
2419,"Upton Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2420,"Quality Metal Roofing","Roof Leak Repair Contractors","Metal Roofing Contractors"
2421,"A. Quikdeck Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2422,"C.M.S. Roofing Pty Ltd","Roof Leak Repair Contractors","Roofing Contractors"
2427,"A Acclaimed Roofing Contractors","Roof Leak Repair Contractors","Roofing Contractors"
2428,"G-Force Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2430,"Speck Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2431,"Global Roofing Services","Roof Leak Repair Contractors","Roofing Contractors"
2432,"A Plus Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2434,"Crown Roofing","Roof Leak Repair Contractors","Roofing Contractors"
2437,"Roofing Specialists The","Box Gutter Contractors","Roofing Contractors"
2438,"Aussie Roofing & Guttering","Box Gutter Contractors","Roofing Contractors"
2443,"AAA Aaron Able Plumbing","Box Gutter Contractors","Commercial Plumbers"
2449,"North West Arm Roofing","Box Gutter Contractors","Roofing Contractors"
2453,"Luke's Garden Maintenance","Box Gutter Contractors","Garden Maintenance Contractors"
2477,"Old School Carpentry","Window Replacement Contractors","Carpenters"
2478,"Special FX Painting","Window Replacement Contractors","Painters"
2528,"Sydney Tuckpointing & Repointing","Brick Repointing Contractors","Tuckpointing Specialists"
2556,"Next Level Painting","Rope Access Contractors","Painters"
2559,"SYDNEY AND WEST PAINTING AND ROPE ACCESS","Rope Access Contractors","Painters"
2572,"R O Steel Roofing","Asbestos Removal Contractors","Metal Roofing Contractors"
2577,"Steel Roofing","Asbestos Removal Contractors","Metal Roofing Contractors"
2594,"AE ASBESTOS & DEMOLITION PTY LTD","Asbestos Removal Contractors","Selective Demolition Contractors"
2599,"Demolision and Rubbish Removal Sydney","Selective Demolition Contractors","Rubbish Removal Contractors"
2605,"Down To Earth Waste Removal","Selective Demolition Contractors","Rubbish Removal Contractors"
2615,"Carpenter Constructions","Selective Demolition Contractors","Carpenters"
2620,"Crosscut Concrete Sawing & Drilling","Selective Demolition Contractors","Concrete Saw Cutting"
